,구별,인구수,내국인,외국인,고령자,외국인비율,고령자비율
0,종로구,153789,144683,9106,27818,5.92,18.09
1,중구,131787,122499,9288,24392,7.05,18.51
2,용산구,237285,222953,14332,39070,6.04,16.47
3,성동구,292672,285990,6682,46380,2.28,15.85
4,광진구,352627,339996,12631,51723,3.58,14.67
5,동대문구,352006,337400,14606,62211,4.15,17.67
6,중랑구,391885,387350,4535,71682,1.16,18.29
7,성북구,440142,430528,9614,74709,2.18,16.97
8,강북구,302563,299182,3381,64333,1.12,21.26
9,도봉구,319373,317366,2007,64160,0.63,20.09
10,노원구,514946,510956,3990,88345,0.77,17.16
11,은평구,477173,473307,3866,87241,0.81,18.28
12,서대문구,315659,304819,10840,54268,3.43,17.19
13,마포구,378686,368905,9781,54582,2.58,14.41
14,양천구,450487,447302,3185,68627,0.71,15.23
15,강서구,579768,574315,5453,92558,0.94,15.96
16,구로구,421163,396754,24409,72611,5.8,17.24
17,금천구,244891,230811,14080,41041,5.75,16.76
18,영등포구,400908,376837,24071,62516,6.0,15.59
19,동작구,394364,385483,8881,66613,2.25,16.89
20,관악구,499449,485699,13750,79871,2.75,15.99
21,서초구,416167,412279,3888,60678,0.93,14.58
22,강남구,537800,533042,4758,78226,0.88,14.55
23,송파구,663965,658338,5627,97691,0.85,14.71
24,강동구,466472,462664,3808,74070,0.82,15.88
