대학명,도로명주소,위도,경도,color
아주대학교,경기도 수원시 영통구 월드컵로 199 (원천동),37.279204703544,127.044142224462,pink
동남보건대학,경기도 수원시 장안구 천천로74번길 50 (정자동),37.2969384402553,126.987000072709,lightgreen
경기대학교,경기도 수원시 영통구 광교산로 154-42 (이의동),37.2980136931725,127.033116715137,darkgreen
성균관대학교,경기도 수원시 장안구 서부로 2066 (천천동),37.2959755681328,126.974208675283,black
수원여자대학,경기도 수원시 권선구 온정로 72 (오목천동),37.2527054444737,126.963307279503,lightred
경희대학교,경기도 용인시 기흥구 덕영대로 1732 (서천동),37.2398001522416,127.081198790803,darkblue
수원대학교,경기도 화성시 봉담읍 와우안길 17,37.2101174847642,126.979480352479,lightblue
수원과학대학,경기도 화성시 정남면 세자로 288,37.1920328913299,126.983926534359,purple
장안대학,경기도 화성시 봉담읍 삼천병마로 1182,37.2132873190596,126.94448214476,green
협성대학,경기도 화성시 봉담읍 최루백로 72,37.2132508835744,126.953622970263,cadetblue
한국방송통신대학교,경기도 수원시 장안구 장안로125번길 32 (정자동),37.2942873857961,126.998086219988,gray
